Simulation Arguments: p= 0.500000, s= 60, d=1  
TrainID          Starting Point    DestinationPoint       Length(m)      Arrival Tİme       Departure Time
2                    A                     F                 100            15:08:34            15:08:38 
1                    F                     B                 200            15:08:34            15:09:00 
4                    E                     B                 100            15:08:35            15:08:56 
3                    A                     E                 100            15:08:35            15:08:41 
5                    A                     E                 100            15:08:36            15:08:44 
7                    F                     A                 100            15:08:36            15:09:11 
6                    B                     F                 100            15:08:36            15:08:47 
8                    A                     F                 100            15:08:37            15:08:50 
9                    B                     F                 100            15:08:38            15:08:53 
10                    E                     A                 200            15:08:38            15:09:09 
11                    E                     A                 200            15:08:39            15:09:24 
12                    B                     F                 200            15:08:39            15:09:06 
13                    F                     B                 200            15:08:39            15:09:32 
14                    A                     F                 100            15:08:40            15:09:02 
15                    A                     E                 100            15:08:41            15:09:18 
16                    B                     E                 100            15:08:41            15:09:20 
